B,Dia,Torque,F,BearingType,A,L,L2,d1,K,M,N,Q,P,H1,h2,h3,b1,d0,Inertia,Weight,CAD_Code
1600,1400,160,1050,23268,2450,1800,1500,300,470,470,260,1010,1200,380,120,314,70,M42,0.1485,9096,160A310Y(Z)
1600,1600,80,520,24156,2350,1800,1385,260,410,320,170,840,1000,310,100,272,56,M36,2007,7285,160A111Y(Z)
1600,1600,120,800,23160,2350,1800,1385,280,470,320,170,940,1150,330,100,292,63,M36,2133,8018,160A211Y(Z)
1600,1600,160,1200,23268,2450,1800,1500,300,470,470,260,1010,1200,380,120,314,70,M42,2299,9893,160A311Y(Z)
1800,800,20,160,22232,2450,2000,1335,150,250,200,105,520,640,200,65,158,36,M30,119,1866,180A107Y(Z)
1800,800,27,240,22236,2450,2000,1345,170,300,220,120,570,700,220,70,179,40,M30,132.7,2275,180A207Y(Z)
1800,800,40,320,23240,2500,2000,1430,190,350,255,140,640,780,240,75,200,45,M30,163.8,2995,180A307Y(Z)
1800,800,52,450,23244,2500,2000,1430,200,350,270,140,720,880,270,80,210,45,M36,193,3573,180A407Y(Z)
1800,800,66,520,23248,2550,2000,1475,220,350,300,150,750,900,290,90,231,50,M36,206.7,4089,180A507Y(Z)
1800,1000,40,320,23240,2500,2000,1430,190,350,255,140,640,780,240,75,200,45,M30,337,3454,180A108Y(Z)
1800,1000,52,450,23244,2500,2000,1430,200,350,270,140,720,880,270,80,210,45,M36,367.4,3950,180A208Y(Z)
1800,1000,66,520,23248,2550,2000,1475,220,350,300,150,750,900,290,90,231,50,M36,392.8,4491,180A308Y(Z)
1800,1000,80,650,24152,2550,2000,1485,240,410,320,170,750,900,290,90,252,56,M36,397.7,4843,180A408Y(Z)
1800,1000,120,800,24156,2550,2000,1485,260,410,320,170,840,1000,310,100,272,56,M36,427,5388,180A508Y(Z)
1800,1250,66,450,24152,2550,2000,1485,240,410,320,170,750,900,290,90,252,56,M36,759.6,5350,180A109Y(Z)
1800,1250,80,520,24156,2550,2000,1485,260,410,320,170,840,1000,310,100,272,56,M36,839.3,6018,180A209Y(Z)
1800,1250,120,650,23160,2550,2000,1485,280,470,320,170,940,1150,330,100,292,63,M36,963.4,6901,180A309Y(Z)
1800,1400,80,450,24156,2550,2000,1485,260,410,320,170,840,1000,310,100,272,56,M36,1176,6377,180A110Y(Z)
1800,1400,120,800,23160,2550,2000,1485,280,470,320,170,940,1150,330,100,292,63,M36,1342,7320,180A210Y(Z)
1800,1400,160,1050,23268,2650,2000,1600,300,470,470,260,1010,1200,380,120,314,70,M42,1563,9479,180A310Y(Z)
1800,1600,120,800,23160,2550,2000,1485,280,470,320,170,940,1150,330,100,292,63,M36,2217,8343,180A111Y(Z)
1800,1600,160,1050,23268,2650,2000,1600,300,470,470,260,1010,1200,380,120,314,70,M42,2415,10306,180A211Y(Z)
2000,800,20,160,22232,2650,2200,1445,150,250,200,105,520,640,200,65,158,36,M30,127.4,1981,200A107Y(Z)
2000,800,27,240,22236,2650,2200,1455,170,300,220,120,570,700,220,70,179,40,M30,142,2417,200A207Y(Z)
2000,800,40,320,23240,2700,2200,1520,190,350,255,140,640,780,240,75,200,45,M30,174,3151,200A307Y(Z)
2000,800,52,450,23244,2700,2200,1520,200,350,270,140,720,880,270,80,210,45,M36,204.6,3753,200A407Y(Z)
2000,800,66,520,23248,2750,2200,1575,220,350,300,150,750,900,290,90,231,50,M36,218.2,4284,200A507Y(Z)
2000,1000,40,320,23240,2700,2200,1520,190,350,255,140,640,780,240,75,200,45,M30,357,3632,200A108Y(Z)
2000,1000,52,450,23244,2700,2200,1520,200,350,270,140,720,880,270,80,210,45,M36,390,4156,200A208Y(Z)
2000,1000,66,520,23248,2750,2200,1575,220,350,300,150,750,900,290,90,231,50,M36,419,4730,200A308Y(Z)
2000,1000,80,650,24152,2750,2200,1585,240,410,320,170,750,900,290,90,252,56,M36,421.6,5088,200A408Y(Z)
2000,1000,120,800,24156,2750,2200,1585,260,410,320,170,840,1000,310,100,272,56,M36,451,5879,200A508Y(Z)
2000,1250,66,450,24152,2750,2200,1585,240,410,320,170,750,900,290,90,252,56,M36,803.2,5619,200A109Y(Z)
2000,1250,80,520,24156,2750,2200,1585,260,410,320,170,840,1000,310,100,272,56,M36,886.3,6314,200A209Y(Z)
2000,1250,120,800,23160,2750,2200,1585,280,470,320,170,940,1150,330,100,292,63,M36,1005,7223,200A309Y(Z)
2000,1400,80,450,24156,2750,2200,1585,260,410,320,170,840,1000,310,100,272,56,M36,1242,6692,200A110Y(Z)
2000,1400,120,800,23160,2750,2200,1585,280,470,320,170,940,1150,330,100,292,63,M36,1412,7663,200A210Y(Z)
2000,1400,160,1200,23268,2850,2200,1700,300,470,470,260,1010,1200,380,120,314,70,M42,1641,9861,200A310Y(Z)
2000,1600,120,800,23160,2750,2200,1585,280,470,320,170,940,1150,330,100,292,63,M36,2333,8738,200A111Y(Z)
2000,1600,160,1200,23268,2850,2200,1700,300,470,470,260,1010,1200,380,120,314,70,M42,2530,10720,200A211Y(Z)
2200,800,27,240,22236,2950,2500,1605,170,300,220,120,570,700,220,70,179,40,M30,,,220A107Y(Z)
2200,800,40,320,23240,3000,2500,1670,190,350,255,140,640,780,240,75,200,45,M30,,,220A207Y(Z)
2200,800,52,450,23244,3000,2500,1670,200,350,270,140,720,880,270,80,210,45,M36,,,220A307Y(Z)
2200,800,66,520,23248,3050,2500,1725,220,350,300,150,750,900,290,90,231,50,M36,,,220A407Y(Z)
2200,1000,40,320,23244,3000,2500,1670,200,350,270,140,720,880,270,80,210,45,M36,,,220A108Y(Z)
2200,1000,52,450,23248,3050,2500,1725,220,350,300,150,750,900,290,90,231,50,M36,,,220A208Y(Z)
2200,1000,66,520,23152,3050,2500,1735,240,410,320,170,750,900,290,90,252,56,M36,,,220A308Y(Z)
2200,1000,80,650,24156,3050,2500,1735,260,410,320,170,840,1000,310,100,272,56,M36,,,220A408Y(Z)
2200,1000,120,800,23160,3050,2500,1735,280,470,320,170,940,1150,370,120,272,63,M36,,,220A508Y(Z)
2200,1250,80,450,24156,3050,2500,1735,260,410,320,170,840,1000,310,100,272,56,M36,,,220A109Y(Z)
2200,1250,120,800,23160,3050,2500,1735,280,470,320,170,940,1150,330,100,272,63,M36,,,220A209Y(Z)
2200,1250,160,1200,23268,3150,2500,1850,300,470,470,260,1010,1200,380,120,314,70,M42,,,220A309Y(Z)
2200,1400,80,450,23160,3050,2500,1735,280,470,320,170,940,1150,330,100,272,63,M36,,,220A110Y(Z)
2200,1400,120,800,23168,3150,2500,1850,300,470,470,260,1010,1200,380,120,314,70,M42,,,220A210Y(Z)
2200,1400,160,1200,23272,3200,2500,1885,320,470,485,260,1050,1240,400,120,334,70,M42,,,220A310Y(Z)
2200,1600,120,800,23168,3150,2500,1850,300,470,470,260,1010,1200,380,120,314,70,M42,,,220A111Y(Z)
2200,1600,160,1200,23272,3200,2500,1885,320,470,485,260,1050,1240,400,120,334,70,M42,,,220A211Y(Z)
2400,800,27,240,22236,3250,2800,1755,170,300,220,120,570,700,220,70,179,40,M30,,,240A107Y(Z)
2400,800,40,320,23240,3300,2800,1820,190,350,255,140,640,780,240,75,200,45,M30,,,240A207Y(Z)
2400,800,52,450,23244,3300,2800,1820,200,350,270,140,720,880,270,80,210,45,M36,,,240A307Y(Z)
2400,800,66,520,23248,3350,2800,1875,220,350,300,150,750,900,290,90,231,50,M36,,,240A407Y(Z)
2400,1000,40,320,23244,3300,2800,1820,200,350,270,140,720,880,270,80,210,45,M36,,,240A108Y(Z)
2400,1000,52,450,23248,3350,2800,1875,220,350,300,150,750,900,290,90,231,50,M36,,,240A208Y(Z)
2400,1000,66,520,23152,3350,2800,1885,240,350,320,170,750,900,290,90,252,56,M36,,,240A308Y(Z)
2400,1000,80,650,24156,3350,2800,1885,260,410,320,170,840,1000,310,100,272,56,M36,,,240A408Y(Z)
2400,1000,120,800,23160,3350,2800,1885,280,470,320,170,940,1150,370,120,272,63,M36,,,240A508Y(Z)
2400,1250,80,450,24156,3350,2800,1885,260,410,320,170,840,1000,310,100,272,56,M36,,,240A109Y(Z)
2400,1250,120,800,23160,3350,2800,1885,280,470,320,170,940,1150,330,100,272,63,M36,,,240A209Y(Z)
2400,1250,160,1200,23268,3450,2800,2000,300,470,470,260,1010,1200,380,120,314,70,M42,,,240A309Y(Z)
2400,1400,80,450,23160,3350,2800,1885,280,470,320,170,940,1150,330,100,272,63,M36,,,240A110Y(Z)
2400,1400,120,800,23168,3450,2800,2000,300,470,470,260,1010,1200,380,120,314,70,M42,,,240A210Y(Z)
2400,1400,160,1200,23272,3500,2800,2035,320,470,485,260,1050,1240,400,120,334,70,M42,,,240A310Y(Z)
2400,1600,120,800,23168,3450,2800,2000,300,470,470,260,1010,1200,380,120,314,70,M42,,,240A111Y(Z)
2400,1600,160,1200,23272,3500,2800,2035,320,470,485,260,1050,1240,400,120,334,70,M42,,,240A211Y(Z)
2400,1800,120,800,23168,3450,2800,2000,300,470,470,260,1010,1200,380,120,314,70,M42,,,240A112Y(Z)
2400,1800,160,1200,23272,3500,2800,2035,320,470,485,260,1050,1240,400,120,334,70,M42,,,240A212Y(Z)
